iter	Passed	Remaining
0	140	140649
1	141	70512
2	141	47119
3	142	35422
4	142	28430
5	143	23750
6	144	20440
7	144	17930
8	145	15979
9	145	14417
10	146	13137
11	146	12072
12	147	11170
13	147	10420
14	148	9748
15	149	9165
16	149	8645
17	150	8184
18	150	7771
19	150	7398
20	151	7062
21	152	6758
22	152	6486
23	153	6242
24	154	6013
25	154	5793
26	155	5589
27	155	5400
28	156	5223
29	156	5059
30	156	4906
31	157	4761
32	158	4633
33	158	4510
34	159	4390
35	159	4276
36	160	4168
37	160	4066
38	161	3969
39	161	3876
40	161	3789
41	162	3709
42	163	3636
43	164	3566
44	164	3496
45	165	3426
46	165	3359
47	166	3295
48	166	3235
49	167	3176
50	167	3120
51	168	3069
52	169	3024
53	169	2973
54	170	2924
55	170	2877
56	171	2831
57	171	2787
58	172	2744
59	172	2702
60	172	2662
61	173	2627
62	174	2591
63	174	2556
64	175	2520
65	175	2486
66	176	2452
67	176	2420
68	177	2388
69	177	2358
70	177	2328
71	178	2299
72	178	2270
73	179	2244
74	179	2218
75	180	2192
76	180	2168
77	181	2143
78	181	2119
79	182	2095
80	182	2072
81	183	2050
82	183	2025
83	183	2004
84	184	1983
85	184	1964
86	185	1945
87	185	1926
88	186	1906
89	186	1888
90	187	1870
91	187	1851
92	188	1834
93	188	1817
94	188	1800
95	189	1783
96	189	1768
97	190	1753
98	190	1737
99	191	1722
100	191	1707
101	192	1692
102	192	1678
103	193	1664
104	193	1650
105	194	1636
106	194	1624
107	195	1611
108	195	1599
109	196	1586
110	196	1574
111	197	1562
112	197	1550
113	198	1539
114	198	1528
115	199	1517
116	199	1505
117	200	1495
118	200	1484
119	201	1474
120	201	1464
121	201	1453
122	202	1443
123	202	1433
124	203	1423
125	203	1413
126	204	1403
127	204	1393
128	205	1384
129	205	1375
130	205	1366
131	206	1357
132	206	1349
133	207	1340
134	207	1332
135	208	1324
136	208	1316
137	209	1308
138	209	1300
139	210	1292
140	210	1284
141	211	1275
142	211	1268
143	212	1261
144	212	1254
145	213	1246
146	213	1239
147	214	1232
148	214	1225
149	215	1218
150	215	1211
151	215	1204
152	216	1198
153	216	1191
154	217	1185
155	218	1179
156	218	1173
157	218	1166
158	219	1160
159	219	1154
160	220	1147
161	220	1140
